key,doi,title,year,venue,type,citations,strands,duplicates_merged,title_only,questions,decision,reason
doi:10.1080/07060660409507160,10.1080/07060660409507160,"Annual Meeting, Ottawa, Ontario, 2004",2004,,,0,openalex+semantic_scholar,2,0,q1 q2 q3,pass,
doi:10.1073/pnas.1615263113,10.1073/pnas.1615263113,Spatial variability in tree regeneration after wildfire delays and dampens future bark beetle outbreaks,2016,Proceedings of the National Academy of Sciences of the United States of America,,80,openalex+semantic_scholar,2,0,q1 q5,pass,
ttl:modellingforestinsectoutbreakseffortstowardsaninverseapproachtomodelcalibration,,Modelling Forest Insect Outbreaks: Efforts Towards an Inverse Approach to Model Calibration,2016,,,1,openalex+semantic_scholar,1,0,,exclude,off-topic
ttl:fireweatherdrivesdailyareaburnedandobservationsoffirebehaviorinmountainpinebeetleaffectedlandscapes,,Fire weather drives daily area burned and observations of fire behavior in mountain pine beetle affected landscapes,2020,,,0,semantic_scholar,0,1,,exclude,off-topic
doi:10.1890/0012-9658(2002)083[3120:ssifio]2.0.co;2,10.1890/0012-9658(2002)083[3120:ssifio]2.0.co;2,SPATIAL SYNCHRONY IN FOREST INSECT OUTBREAKS: ROLES OF REGIONAL STOCHASTICITY AND DISPERSAL,2002,,,310,openalex+semantic_scholar,6,0,q1 q2 q3 q4 q5,pass,
ttl:spatiotemporalmappingofmountainpinebeetleinfestationseverityandprobabilityofnewinfestationinthecentralusrockymountains,,Spatiotemporal mapping of mountain pine beetle infestation severity and probability of new infestation in the central U.S. Rocky Mountains,2018,,,0,openalex+semantic_scholar,4,0,q1 q2 q3 q5 q6 q7,pass,
doi:10.1002/ecy.2403,10.1002/ecy.2403,Black swans in space: modeling spatiotemporal processes with extremes.,2018,Ecology,,37,openalex+semantic_scholar,1,0,q4,pass,
doi:10.24124/2022/59318,10.24124/2022/59318,Spatiotemporal evolutionary dynamics and biological response of mountain pine beetle (Dendroctonus ponderosae Hopkins) (Coleoptera: Curculionidae) in western Canada after range expansion,,,,0,openalex+semantic_scholar,4,0,,exclude,out-of-window
ttl:forestclimateandmountainpinebeetleoutbreakdynamicsinwesterncanada,,"Forest, climate and mountain pine beetle outbreak dynamics in Western Canada.",2006,,,180,openalex+semantic_scholar,4,0,q1 q2 q3,pass,
doi:10.1093/isd/ixy019,10.1093/isd/ixy019,Inferring Ancestry and Divergence Events in a Forest Pest Using Low-Density Single-Nucleotide Polymorphisms,2018,Insect Systematics and Diversity,,8,openalex+semantic_scholar,5,0,q1 q2 q3,pass,
doi:10.1002/eap.70270,10.1002/eap.70270,"Spatial and temporal patterns of bark beetle and defoliator outbreaks, and their interactions, in the Pacific Northwest",2026,Ecological Applications,,0,semantic_scholar,1,0,q1 q5 q6,pass,
doi:10.1890/es11-00150.1,10.1890/es11-00150.1,Northern range limit mountain pine beetle outbreak dynamics in mixed sub-boreal pine forests of British Columbia,2011,,,14,openalex+semantic_scholar,2,0,q1 q2 q3,pass,
